"name","id","lat","lon","cumulative_revenue","design_capacity","fee_effective_date","rates","location","capital_cost","project_type","date_fee_notification","date_commercial_operation","fee_rule","concessions_period","traffic_per_day","target_traffic_per_day","contractor_name","contact_details"
"Thakurtola (End of Durg Bypass)",4,21.117914,81.122298,30781.84,"NA","01-09-2019","{""car_single"":null,""car_multi"":140,""car_monthly"":2775,""lcv_single"":null,""lcv_multi"":245,""lcv_monthly"":4860,""bus_multi"":485,""bus_monthly"":9720,""multiaxle_single"":520,""multiaxle_multi"":780,""multiaxle_monthly"":15625,""hcm_single"":520,""hcm_multi"":780,""hcm_monthly"":15625,""four_six_axle_single"":520,""four_six_axle_multi"":780,""four_six_axle_monthly"":15625,""seven_plus_axle_single"":520,""seven_plus_axle_multi"":780,""seven_plus_axle_monthly"":15625}","<b style='color:#22A7EA'>Thakurtola (End of Durg Bypass)</b><br/><b> </b> M/s Ashoka Highways Durg Ltd","464.00","BOT (Toll)","20-12-2011","15-02-2012","NA","1997",22246,22246,"M/s Ashoka Highways Durg Ltd","Mr Mukesh Devangan / 8889811172"
"Bankapur",5,14.90999,75.2798,263.3,"NA","25-02-2018","{""car_single"":null,""car_multi"":80,""car_monthly"":1795,""lcv_single"":null,""lcv_multi"":130,""lcv_monthly"":2905,""bus_multi"":275,""bus_monthly"":6080,""multiaxle_single"":200,""multiaxle_multi"":300,""multiaxle_monthly"":6635,""hcm_single"":285,""hcm_multi"":430,""hcm_monthly"":9540,""four_six_axle_single"":285,""four_six_axle_multi"":430,""four_six_axle_monthly"":9540,""seven_plus_axle_single"":350,""seven_plus_axle_multi"":525,""seven_plus_axle_monthly"":11610}","<b style='color:#22A7EA'>Bankapur</b><br/><b> </b> Ms Sri Sai Enterprises","317.69","Public Funded","16-07-2012","03-03-2008","2008 as amended with transition","03.01.2016-03.01.2017extended period",25077,,"Ms Sri Sai Enterprises","Shri Rajesh / 9901793636"
"Hirebagewadi",6,15.76311,74.64785,328.4,"NA","01-04-2020","{""car_single"":null,""car_multi"":140,""car_monthly"":3165,""lcv_single"":null,""lcv_multi"":230,""lcv_monthly"":5110,""bus_multi"":480,""bus_monthly"":10705,""multiaxle_single"":505,""multiaxle_multi"":755,""multiaxle_monthly"":16790,""hcm_single"":505,""hcm_multi"":755,""hcm_monthly"":16790,""four_six_axle_single"":505,""four_six_axle_multi"":755,""four_six_axle_monthly"":16790,""seven_plus_axle_single"":615,""seven_plus_axle_multi"":920,""seven_plus_axle_monthly"":20440}","<b style='color:#22A7EA'>Hirebagewadi</b><br/><b> </b> M/s Ashoka Belgaum Dharwad Tollway Ltd","996.60","BOT (Toll)","05-04-2011","07-07-2007","2008","04.05.2011-03.05.2041",27249,,"M/s Ashoka Belgaum Dharwad Tollway Ltd","Mr T. George / 8970999401"
"Durg Bypass (Dhamdanaka)",7,21.214518,81.287962,404.89,"15000","01-04-2019","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":275,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":365,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":275,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":275,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Durg Bypass (Dhamdanaka)</b><br/><b> </b> Ms Durg Shivnath Expressways Pvt Ltd.","123.00","BOT (Toll)","13-12-2001","15-12-2000","1997","01.04.2011-29.03.2031",20742,20742,"Ms Durg Shivnath Expressways Pvt Ltd.","Sh Hemant Kumar / 9009990182"
"Hattargi",8,16.1433,74.51696,164.5,"NA","01-04-2020","{""car_single"":null,""car_multi"":45,""car_monthly"":945,""lcv_single"":null,""lcv_multi"":70,""lcv_monthly"":1530,""bus_multi"":145,""bus_monthly"":3205,""multiaxle_single"":105,""multiaxle_multi"":155,""multiaxle_monthly"":3495,""hcm_single"":150,""hcm_multi"":225,""hcm_monthly"":5025,""four_six_axle_single"":150,""four_six_axle_multi"":225,""four_six_axle_monthly"":5025,""seven_plus_axle_single"":185,""seven_plus_axle_multi"":275,""seven_plus_axle_monthly"":6120}","<b style='color:#22A7EA'>Hattargi</b><br/><b> </b> Sh. V. Vidyasagar Reddy","559.49","Public Funded","26-10-2012","28-04-2007","2008 as amended with transition","16.01.2016-16.01.2017extended period",33898,,"Sh. V. Vidyasagar Reddy","Syed Abdul Rahman / 8618001170"
"Kognoli",9,16.5422,74.31825,282.87,"NA","01-04-2020","{""car_single"":null,""car_multi"":110,""car_monthly"":2425,""lcv_single"":null,""lcv_multi"":175,""lcv_monthly"":3915,""bus_multi"":370,""bus_monthly"":8200,""multiaxle_single"":270,""multiaxle_multi"":405,""multiaxle_monthly"":8945,""hcm_single"":385,""hcm_multi"":580,""hcm_monthly"":12860,""four_six_axle_single"":385,""four_six_axle_multi"":580,""four_six_axle_monthly"":12860,""seven_plus_axle_single"":470,""seven_plus_axle_multi"":705,""seven_plus_axle_monthly"":15655}","<b style='color:#22A7EA'>Kognoli</b><br/><b> </b> Ms Sahakar Global Ltd.","559.49","Public Funded","26-10-2012","03-05-2005","2008 as amended with transition","29.01.2016-29.01.2017extended period",44415,,"Ms Sahakar Global Ltd.","Mr B. R. Patil / 9689330854"
"Tundla",10,27.218247,78.272821,100000,"120000","01-04-2017","{""car_single"":null,""car_multi"":85,""car_monthly"":1840,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2970,""bus_multi"":280,""bus_monthly"":6225,""multiaxle_single"":205,""multiaxle_multi"":305,""multiaxle_monthly"":6790,""hcm_single"":295,""hcm_multi"":440,""hcm_monthly"":9760,""four_six_axle_single"":295,""four_six_axle_multi"":440,""four_six_axle_monthly"":9760,""seven_plus_axle_single"":355,""seven_plus_axle_multi"":535,""seven_plus_axle_monthly"":11885}","<b style='color:#22A7EA'>Tundla</b><br/><b> </b> M/s AE Tollways Pvt Ltd","1664.00","BOT (Toll)","07-02-2013","11-04-2009","2008 as amended","",47978,52995,"M/s AE Tollways Pvt Ltd","Mr  Tullic Thorat / 7466863822"
"Brahamarakotlu",11,12.875095,75.003849,25.57,"40000","01-04-2020","{""car_single"":null,""car_multi"":40,""car_monthly"":865,""lcv_single"":null,""lcv_multi"":65,""lcv_monthly"":1400,""bus_multi"":130,""bus_monthly"":2930,""multiaxle_single"":95,""multiaxle_multi"":145,""multiaxle_monthly"":3195,""hcm_single"":140,""hcm_multi"":205,""hcm_monthly"":4595,""four_six_axle_single"":140,""four_six_axle_multi"":205,""four_six_axle_monthly"":4595,""seven_plus_axle_single"":170,""seven_plus_axle_multi"":250,""seven_plus_axle_monthly"":5595}","<b style='color:#22A7EA'>Brahamarakotlu</b><br/><b> </b> Sh. Suresh Chandra Agarwal","181.50","Public Funded","25-06-2013","05-12-2013","2008 as amended","20.12.2016-20.12.2017",33886,,"Sh. Suresh Chandra Agarwal","Sh. Anil Kumar Shukla / 9035084878"
"Cable Stayed Naini Bridge",12,25.41629,81.861017,112.23,"NA","01-04-2019","{""car_single"":null,""car_multi"":35,""car_monthly"":730,""lcv_single"":null,""lcv_multi"":55,""lcv_monthly"":1180,""bus_multi"":110,""bus_monthly"":2475,""multiaxle_single"":80,""multiaxle_multi"":120,""multiaxle_monthly"":2700,""hcm_single"":115,""hcm_multi"":175,""hcm_monthly"":3880,""four_six_axle_single"":115,""four_six_axle_multi"":175,""four_six_axle_monthly"":3880,""seven_plus_axle_single"":140,""seven_plus_axle_multi"":210,""seven_plus_axle_monthly"":4720}","<b style='color:#22A7EA'>Cable Stayed Naini Bridge</b><br/><b> </b> Bholanath Rajpati Shukla","295.73","Public Funded","26-03-2013","15-02-2005","2008 as amended with transition","02.01.2017 - 01.01.2018",52993,44368,"Bholanath Rajpati Shukla","Sh.  Bholanath R. Shukla / 8176894354"
"Bassi",13,25.033921,74.817676,148.05,"240","01-04-2020","{""car_single"":null,""car_multi"":115,""car_monthly"":2570,""lcv_single"":null,""lcv_multi"":185,""lcv_monthly"":4150,""bus_multi"":390,""bus_monthly"":8695,""multiaxle_single"":285,""multiaxle_multi"":425,""multiaxle_monthly"":9490,""hcm_single"":410,""hcm_multi"":615,""hcm_monthly"":13640,""four_six_axle_single"":410,""four_six_axle_multi"":615,""four_six_axle_monthly"":13640,""seven_plus_axle_single"":500,""seven_plus_axle_multi"":745,""seven_plus_axle_monthly"":16605}","<b style='color:#22A7EA'>Bassi</b><br/><b> </b> Ms Sahakar Global Ltd.","NA","OMT","05-12-2008","31-03-2009","2008","01.08.2011-31.07.2017",10168,7457,"Ms Sahakar Global Ltd.","Sh.  Bhawani Singh / 7665631866"
